,remse
401,0.008872298545368857
402,0.009205541853157516
403,0.0061317443083599805
404,0.007356920818257855
405,0.008320249920345246
406,0.008061296787541094
407,0.00850376559753666
408,0.0068835229011237325
409,0.011890316088265218
410,0.006463122036381311
411,0.006630101040139612
412,0.006545407223229488
413,0.0059409952606622315
414,0.007109631167943496
415,0.0072765091443805765
416,0.00656849480323171
417,0.006122025296981742
418,0.010582834476830566
419,0.009815679231041128
420,0.00907771221179238
421,0.006239569164173739
422,0.005866035102921777
423,0.00841549943035831
424,0.009297902404590138
425,0.007459915989730068
426,0.006165829599074672
427,0.008615064224022737
428,0.009801218198024965
429,0.01307012483206271
430,0.008330521930533115
431,0.007723767075673218
432,0.008726860626331075
433,0.008165277306202444
434,0.01583038313887073
435,0.007363596100852406
436,0.010125611451428458
437,0.010431895168935312
438,0.009050086377923474
439,0.007659920488563785
440,0.008555848075633641
441,0.013176788857277816
442,0.007872719564212854
443,0.03093616871390482
444,0.017417593462226853
445,0.008362587687446079
446,0.0069966537419746105
447,0.007305355940282371
448,0.008271104361214645
449,0.007023056962372721
450,0.006527772517206346
451,0.006289481143692255
452,0.00576139833587913
453,0.007765035693327631
454,0.006878561270541733
455,0.01167039808715959
456,0.008413236134662301
457,0.0069760777372275574
458,0.00950694276671218
459,0.0070857879926211785
460,0.006226675127152601
461,0.008085744365623973
462,0.006878875443267821
463,0.00744357905563926
464,0.007600517657757683
465,0.007305790400012156
466,0.0072574740576683535
467,0.006123933408657231
468,0.006469021355646891
469,0.00718811368068789
470,0.03800812688900241
471,0.008021914813900466
472,0.006006262028483178
473,0.005974468140463966
474,0.010471617649184795
475,0.005981854043135775
476,0.0065832104084686364
477,0.006506458572076459
478,0.005338459869685029
479,0.0067650912911312215
480,0.007081967978050117
481,0.009495872291929318
482,0.007838388623763315
483,0.006160313139093704
484,0.009785077444847343
485,0.007126513144839149
486,0.008730782459632413
487,0.009860912180630616
488,0.008342405056549774
489,0.005874175105433126
490,0.009160060450921752
491,0.01675442249343468
492,0.005739658067147913
493,0.00740722092881405
494,0.005353735048039701
495,0.005728812089182041
496,0.006323369124034629
497,0.008107066179754322
498,0.007859746431681558
499,0.0053031783902825515
500,0.005888515377023267
501,0.0066408332049788625
502,0.004674412281811489
503,0.005944803655303009
504,0.006568612043699004
505,0.0066293784422686835
506,0.0052714923231571755
507,0.00692391193112324
508,0.006153934240107337
509,0.005201605385391818
510,0.006513238587606426
511,0.006882782735582862
512,0.005811319132768126
513,0.005811753151996175
514,0.007038778270587261
515,0.006708127007634531
516,0.00790059915790369
517,0.007229519813765252
518,0.006559024891497957
519,0.007239964371666535
520,0.008030457219032444
521,0.00836990968616521
522,0.006045116609111374
523,0.012482031667064289
524,0.008054480110663623
525,0.010773273712929238
526,0.0075801408917173345
527,0.010175602793053027
528,0.0130325454568162
529,0.006625833780075767
530,0.005741983287406395
531,0.00857738449042425
532,0.006286768986346448
533,0.008277424591490293
534,0.006153047810327542
535,0.006253608272995012
536,0.006790735272430883
537,0.008992123310722596
538,0.010085146953890177
539,0.008832252562310247
540,0.00974129032841741
541,0.011273217742375451
542,0.013637307905549229
543,0.011648787192542214
544,0.010192460672381434
545,0.007603746049238473
546,0.012853339251262277
547,0.010314631126666808
548,0.006493821766710642
549,0.006158659020120336
550,0.005765549330564566
551,0.004995449863138626
552,0.007770844362430202
553,0.007886273922601106
554,0.007776555502617789
555,0.006709044918399485
556,0.005592510278210434
557,0.007858619628108536
558,0.0075855663679190435
559,0.0063727593718288615
560,0.007122736143881612
561,0.009651151902405286
562,0.0054391432540888815
563,0.00514251309722107
564,0.00632262521167874
565,0.006149129234581223
566,0.008385694521689805
567,0.007686734893422372
568,0.015111131938998634
569,0.010226153160645233
570,0.006218258893311787
571,0.007158638937498854
572,0.009594724195254901
573,0.007328478934594533
574,0.005153483654394318
575,0.005767383294489518
576,0.007854863171273761
577,0.009113047875108735
578,0.008375194441527399
579,0.011490326643963633
580,0.008248823037630889
581,0.008331108212232423
582,0.011871997510748154
583,0.010559389714552657
584,0.021089058801509155
585,0.007999738829436618
586,0.0131812812042331
587,0.007793251211116072
588,0.013969582954804341
589,0.008887888756322515
590,0.007127465135511956
591,0.007991856307975019
592,0.008171530967729006
593,0.008115548462190316
594,0.006350749698544515
595,0.00877197366975507
596,0.007228932154963142
597,0.009547342154299443
598,0.008010594523244288
599,0.007035229467256893
600,0.008270507643636621
601,0.023987768431890297
602,0.009941714940754829
603,0.009987368561792597
604,0.009848665661599065
605,0.00910939235408099
606,0.04897628593906833
607,0.009512365947522314
608,0.008859321599084266
609,0.011273141535910816
610,0.011463953028634188
611,0.01070730325602686
612,0.007852666083931719
