Reading Sample dataset...
13426 120836
60
Feature-Mapper: execute-mode, Anomaly-Detector: train-mode
Running KitNET:
0 105000 0.00517394235905834
0 106000 0.006830022221792112
0 107000 0.004008577848426592
0 108000 0.004632445700130231
0 109000 0.027337414524846438
0 110000 0.004060636358248643
0 111000 0.008156767496486477
0 112000 0.008047892424160605
0 113000 0.003938442331723313
0 114000 0.007714159083943516
0 115000 0.003437931107249974
0 116000 0.006185917076955473
0 117000 0.0045231918178362035
0 118000 0.006728704424450429
0 119000 0.00786268594132038
0 120000 0.004434627827887469
0 121000 0.008196599738308715
0 122000 0.003340456967246795
0 123000 0.0032069463617026488
0 124000 0.004014421648993998
0 125000 0.011898355111974788
0 126000 0.0034974240347344344
0 127000 0.004560471252501878
0 128000 0.0032727805306433494
0 129000 0.011266966761846117
0 130000 0.004380394498676955
0 131000 0.010239237619337786
0 132000 0.005390974179576345
0 133000 0.003906902158998636
0 134000 0.005177984971170051
1 0 0.09663401588333428
1 1000 0.01756975064737315
1 2000 0.0034123340943311327
1 3000 0.00545032541544347
1 4000 0.006465729695950752
1 5000 0.005839857481552489
1 6000 0.004559397605303056
1 7000 0.005917890838525208
1 8000 0.005017933933302348
1 9000 0.004395657524035662
1 10000 0.005051663945902383
1 11000 0.0029304562273316966
1 12000 0.006508827680464623
1 13000 0.0052345493402086085
1 14000 0.0054423258021537605
1 15000 0.008814092375650565
1 16000 0.004775948103076534
1 17000 0.008105450247113899
1 18000 0.005498366446022292
1 19000 0.004808796595079234
1 20000 0.00482271047966578
1 21000 0.004167356236210388
1 22000 0.0029689487205452336
1 23000 0.005384199281490711
1 24000 0.0032103888468342627
1 25000 0.007646324995869083
1 26000 0.00615830932875538
1 27000 0.006137827687128073
1 28000 0.008906487743236125
1 29000 0.00475287121856399
1 30000 0.005542894580391283
1 31000 0.014375041541886275
1 32000 0.0029485531284184183
1 33000 0.003444554112563721
1 34000 0.004085318949017541
1 35000 0.005161847717369619
1 36000 0.0040094637931502985
1 37000 0.007316410784442274
1 38000 0.0034416255616267844
1 39000 0.01282086087813654
1 40000 0.00586744805803237
1 41000 0.0033244313315222165
1 42000 0.002689390970143048
1 43000 0.004435325422819072
1 44000 0.006011505884904737
1 45000 0.0027867775339731208
1 46000 0.016179162627802415
1 47000 0.00753324278987445
1 48000 0.0046833765274466085
1 49000 0.005005830621910164
1 50000 0.006462366060618724
1 51000 0.0032554421796622654
1 52000 0.004250751139656278
1 53000 0.005319414460400332
1 54000 0.009486123490178508
1 55000 0.0043245866425711205
1 56000 0.004821777193970298
1 57000 0.005268407730383366
1 58000 0.0032289720892482387
1 59000 0.006906434252593917
1 60000 0.006967491287011465
1 61000 0.003191957922030204
1 62000 0.007414825946351468
1 63000 0.004882430901567759
1 64000 0.007604941608145739
1 65000 0.00417242172510509
1 66000 0.005383005751000512
1 67000 0.008233039265673231
1 68000 0.005681925177429369
1 69000 0.00412488605289719
1 70000 0.005902626451423658
1 71000 0.00575631602958688
1 72000 0.00630615619949558
1 73000 0.0030529172805176213
1 74000 0.0032721049236417565
1 75000 0.005517252866257084
1 76000 0.004592760288450661
1 77000 0.0036228629052979574
1 78000 0.004331202636013821
1 79000 0.007341655563944891
1 80000 0.005578122187838114
1 81000 0.003473499898017577
1 82000 0.006870167737951342
1 83000 0.012996189672464535
1 84000 0.003982109730551875
1 85000 0.005564728443374885
1 86000 0.0096389267833238
1 87000 0.004779586085202986
1 88000 0.013048336590687236
1 89000 0.0038256463919618426
1 90000 0.0035768956530609548
1 91000 0.0067580608571859045
1 92000 0.003128165996722218
1 93000 0.005868166425435422
1 94000 0.0027088027263898833
1 95000 0.003592815141329593
1 96000 0.004894228737245266
1 97000 0.004381393145995013
1 98000 0.0039641158693605365
1 99000 0.01048488398821259
1 100000 0.005341442595658557
1 101000 0.005678212975958555
1 102000 0.008805926945851339
1 103000 0.004440719657755009
1 104000 0.002981553162742605
1 105000 0.003428962976817435
1 106000 0.0047519111873104035
1 107000 0.0026150582466990518
1 108000 0.008029391827593754
1 109000 0.010842249100447668
1 110000 0.0031493820553537464
1 111000 0.007271047048034503
1 112000 0.00516806584118686
1 113000 0.0031408150494728697
1 114000 0.004808150627587184
1 115000 0.0028050978265130896
1 116000 0.005052822683795819
1 117000 0.003148243398596739
1 118000 0.003947086945786358
1 119000 0.005712823941514326
1 120000 0.003952259871757424
1 121000 0.00673744973619998
1 122000 0.0027892251112087408
1 123000 0.0026861995441444394
1 124000 0.0030013705748246416
1 125000 0.009063514371675355
1 126000 0.002525695336678998
1 127000 0.004036207779025682
1 128000 0.00270859842495909
1 129000 0.011777017013379265
1 130000 0.003423211333129721
1 131000 0.006695381456435329
1 132000 0.005925758672524716
1 133000 0.002881401296142655
1 134000 0.004704241496057317
2 0 0.07965407850205833
2 1000 0.014953860954865245
2 2000 0.002877290654523896
2 3000 0.005532257962487104
2 4000 0.004622762783760798
2 5000 0.005153242004621216
2 6000 0.0038105998676080497
2 
